Date,Holiday,Observed in
1 January,New Year's Day,Most of India
13–17 January,Sankranthi/Pongal,Maharashtra Andhra Pradesh Telangana Pondicherry Tamil Nadu
14 January,Uttarayan  Surya Pongal,Gujarat  Tamil Nadu
15 January,Maatu Pongal,Tamil Nadu
16 January,Kaanum Pongal,Tamil Nadu
18 January,Thaipusam,Tamil Nadu
23 January,Netaji Subhas Chandra Bose's Jayanti (Parakram Divas),Odisha Tripura West Bengal Jharkhand Assam
30 January,Mahatma Gandhi's Death Anniversary,All of India
August or September,Onam,Kerala Pondicherry
19 February,Chhatrapati Shivaji Maharaj Jayanti,Maharashtra
20 February,Arunachal Pradesh(statehood day),
26 February,Hazrat Ali Jayanti,Most of India
1st Day of Chaitra March/April,Gudipadwa,Maharshtra
1st Day of Chaitra March/April,Ugadi,Andhra Pradesh Karnataka Telangana
1st Day of Chithirai March/April,Vishu / Varusha Pirappu or Puthandu(Malayali and Tamil New Year),Kerala Tamil Nadu
2nd Day of Chaitra March/April,Cheti Chand(Sindhi New Year),Gujarat Uttar Pradesh Maharashtra Rajasthan Delhi Madhya Pradesh Chhattisgarh
15 March,Kanshi Ram's Jayanti,Uttar Pradesh
22 March,Bihar Day,Bihar
30 March,Rajasthan Day,Rajasthan
1 April,Utkala Dibasa(Odisha day),Odisha
13/14 April,Pana Sankranti (Maha Vishuva Sankranti)(Odia New Year),Odisha
14 April,Dr. Babasaheb Ambedkar's Jayanti,Andhra Pradesh Bihar Chandigarh Chhattisgarh Goa  Gujarat Haryana Himachal Pradesh Jammu & Kashmir Jharkhand Karnataka Kerala Ladakh Madhya Pradesh Maharashtra Odisha Pondicherry Punjab Rajasthan Sikkim  Tamil Nadu Telangana Uttarakhand Uttar Pradesh West Bengal
14 April,Samrat Ashoka's Jayanti (Birthday of Emperor Ashoka),Bihar
14/15 April,Puthandu(Tamil New Year),Tamil Nadu
14/15 April,Pohela Boishakh(Bengali New Year),Tripura West Bengal
15 April,Bihu(Assamese New Year),Assam
1 May,Labor Day/May Day[5][6],Assam Bihar Goa Karnataka Andhra Pradesh Kerala Manipur Pondicherry Tamil Nadu Tripura West Bengal Odisha Rajasthan Punjab
1 May,Maharashtra Day,Maharashtra
1 May,Gujarat Day,Gujarat
9 May,Rabindra Jayanti,West Bengal
16 May,Annexation Day,Sikkim
2 June,Telangana Formation Day,Telangana
15 June,Maharana Pratap Jayanti,Rajasthan
Purnima of Ashvin,Valmiki Jayanti,Haryana Delhi Punjab Himachal Pradesh Karnataka
26 October,Accession Day,Jammu and Kashmir
31 October,Sardar Patel Jayanti,Gujarat
1 November,Karnataka Rajyotsava,Karnataka
1 November,Andhra Pradesh Raashtra Avatharana Dinotsavam (State Formation Day),Andhra Pradesh
1 November,Haryana Foundation Day,Haryana
1 November,Madhya Pradesh Foundation Day,Madhya Pradesh
1 November,Kerala Foundation Day,Kerala
1 November,Chhattisgarh Foundation Day,Chhattisgarh
3rd day of Kartika Krishna Paksha,Kanaka Jayanti,Karnataka
7 December,Armed Forces Flag Day,Indian military
19 December,Goa Liberation Day,Goa
